nodo,pagerank,controlabilidad
57,0.0211000000,0.1050976203
246,0.0212000000,0.1821850335
613,0.0144000000,0.3240757225
760,0.0210000000,0.5528455285
761,0.0217000000,0.4633552905
765,0.0316000000,0.0616580618
855,0.0305000000,0.6802563646
985,0.0234000000,0.2930389888
988,0.0110000000,0.8026229897
1081,0.0039200000,0.8355587206
1108,0.0146000000,0.1088956145
1186,0.0039200000,0.0481870512
1192,0.1746927521,0.1029019049
1298,0.0252000000,0.1160761973
1541,0.0122000000,0.2640199395
1737,0.0314000000,0.2634858465
1952,0.0632000000,0.1661622456
2084,0.0039200000,0.1878820248
2353,0.0068200000,0.6220995787
2554,0.0039200000,0.7298083200
2606,0.0051200000,0.3221767254
2691,0.0757889627,0.1936977034
2874,0.0039200000,0.8654679248
3231,0.0039200000,0.5248946650
3300,0.0347000000,0.7597175242
3615,0.0409000000,0.6051272921
3713,0.0090600000,0.6325440627
3839,0.2990291182,0.0916266097
3840,0.0824341583,0.0573259747
3936,0.0390000000,0.1290724586
3968,0.2934439808,0.0682452080
3987,0.0214000000,0.1980297905
4152,0.0217000000,0.1561925108
4358,0.0084000000,0.2474630586
4444,0.0053700000,0.2813482879
4602,0.0537000000,0.2351195775
4629,0.0339000000,0.2213518486
5001,0.0039200000,0.9713963563
5212,0.0241000000,0.5307696873
5430,0.0105000000,0.3996202006
5593,0.0039200000,0.5675034123
5628,0.0247000000,0.1808201294
5765,0.1226045206,0.0154293514
5791,0.0039200000,0.7276719483
5827,0.0342000000,0.1827191265
6417,0.0043900000,0.3396831049
6463,0.0173000000,0.4014005104
6478,0.0086400000,0.1624235950
7074,0.0251000000,0.1411192214
7085,0.0830655935,0.4307162780
7089,0.0095000000,0.4506557474
7219,0.0124000000,0.4774790814
8291,0.0039200000,0.2652068127
8412,0.0039200000,0.3340454572
8610,0.0737202053,0.2002848496
8708,0.0090600000,0.1759539493
8709,0.0262000000,0.2933950507
8882,0.0373000000,0.2179692600
8906,0.0099200000,0.3519078986
8997,0.0129000000,0.6720075960
9000,0.0300000000,0.1176191324
9080,0.0039200000,0.6551539968
9613,0.0234000000,0.1996914130
9952,0.0039200000,0.6670820723
10142,0.0265000000,0.1169663521
10178,0.1619824436,0.3961189247
10202,0.5940855465,0.0159041007
10208,0.0373000000,0.0742982612
10221,0.0731592089,0.1896623346
10223,0.0216000000,0.3954068008
10228,0.0039200000,0.6559848080
10229,0.0066800000,0.4569461753
10230,0.0195000000,0.5806777046
10237,0.0877689848,0.4200937630
10241,0.0772464165,0.2239629696
10265,0.0153000000,0.5629932942
10274,0.0088100000,0.3762387989
10297,0.0726212968,0.0631416533
10305,0.0039200000,0.8475461397
10312,0.0390000000,0.9760251617
10317,0.0739164068,0.0722805768
10318,0.0070200000,0.1772001662
10336,0.0095800000,0.4154056139
10346,0.0092300000,0.9023796807
10350,0.2501415595,0.2799240401
10355,0.0300000000,0.0791644413
10364,0.0347000000,0.4752833660
10419,0.1238425000,0.0363183194
10450,0.0810732635,0.2620615987
10565,0.0574000000,0.0809447511
10609,0.0233000000,0.5349830871
10677,0.0039200000,0.6090439737
10698,0.0261000000,0.3961782684
10706,0.0641000000,0.0608865943
10781,0.0617000000,0.0884813958
10792,0.0143000000,0.6499317548
10860,0.0139000000,0.3717286808
10862,0.0121000000,0.2200462881
10877,0.0587000000,0.1807607857
10923,0.0261000000,0.0360809448
11011,0.0486000000,0.2064565901
