nodo,controlability,kshell
57,0.1050976203,2
246,0.1821850335,4
613,0.3240757225,3
760,0.5528455285,3
761,0.4633552905,3
765,0.0616580618,5
855,0.6802563646,3
985,0.2930389888,5
988,0.8026229897,3
1081,0.8355587206,2
1108,0.1088956145,3
1186,0.0481870512,7
1192,0.1029019049,8
1298,0.1160761973,6
1541,0.2640199395,2
1737,0.2634858465,5
1952,0.1661622456,6
2084,0.1878820248,4
2353,0.6220995787,3
2554,0.7298083200,2
2606,0.3221767254,2
2691,0.1936977034,8
2874,0.8654679248,2
3231,0.5248946650,3
3300,0.7597175242,4
3615,0.6051272921,6
3713,0.6325440627,3
3839,0.0916266097,8
3840,0.0573259747,6
3936,0.1290724586,6
3968,0.0682452080,6
3987,0.1980297905,5
4152,0.1561925108,5
4358,0.2474630586,3
4444,0.2813482879,2
4602,0.2351195775,5
4629,0.2213518486,9
5001,0.9713963563,2
5212,0.5307696873,6
5430,0.3996202006,5
5593,0.5675034123,2
5628,0.1808201294,3
5765,0.0154293514,5
5791,0.7276719483,2
5827,0.1827191265,5
6417,0.3396831049,4
6463,0.4014005104,2
6478,0.1624235950,4
7074,0.1411192214,3
7085,0.4307162780,7
7089,0.4506557474,3
7219,0.4774790814,4
8291,0.2652068127,3
8412,0.3340454572,5
8610,0.2002848496,6
8708,0.1759539493,2
8709,0.2933950507,6
8882,0.2179692600,5
8906,0.3519078986,3
8997,0.6720075960,3
9000,0.1176191324,9
9080,0.6551539968,2
9613,0.1996914130,2
9952,0.6670820723,2
10142,0.1169663521,4
10178,0.3961189247,8
10202,0.0159041007,9
10208,0.0742982612,9
10221,0.1896623346,9
10223,0.3954068008,7
10228,0.6559848080,6
10229,0.4569461753,2
10230,0.5806777046,2
10237,0.4200937630,9
10241,0.2239629696,9
10265,0.5629932942,5
10274,0.3762387989,2
10297,0.0631416533,8
10305,0.8475461397,4
10312,0.9760251617,6
10317,0.0722805768,9
10318,0.1772001662,5
10336,0.4154056139,6
10346,0.9023796807,3
10350,0.2799240401,8
10355,0.0791644413,6
10364,0.4752833660,7
10419,0.0363183194,9
10450,0.2620615987,9
10565,0.0809447511,6
10609,0.5349830871,5
10677,0.6090439737,2
10698,0.3961782684,5
10706,0.0608865943,5
10781,0.0884813958,6
10792,0.6499317548,4
10860,0.3717286808,2
10862,0.2200462881,2
10877,0.1807607857,4
10923,0.0360809448,4
11011,0.2064565901,5
11014,0.1707910510,9
11041,0.3872173758,7
11214,0.2041421874,3
11333,0.0546555101,9
11385,0.2537534864,5
11414,0.0676517714,6
11489,0.2407572251,7
11525,0.0986885051,5
11600,0.6958044033,6
11628,0.3080529345,5
11677,0.5063200997,4
11753,0.5689276601,3
11764,0.6753308409,5
11848,0.5726069669,4
12026,0.1999881313,4
12041,0.0936442941,2
12098,0.5392558305,2
12111,0.2371966055,2
12158,0.4009257611,5
12161,0.5701738769,4
12249,0.5625185449,4
12371,0.4087591241,2
12426,0.4663224734,5
12496,0.7360394042,4
12522,0.0630229660,9
12528,0.4687555635,4
12601,0.1968429173,5
12615,0.2880541214,3
12643,0.5267936621,2
12644,0.1315648923,2
12661,0.2226574091,4
12695,0.1821850335,9
12708,0.3654382529,3
12716,0.3357664234,5
