nodo,pagerank,kshell
57,0.0211000000,2
246,0.0212000000,4
613,0.0144000000,3
760,0.0210000000,3
761,0.0217000000,3
765,0.0316000000,5
855,0.0305000000,3
985,0.0234000000,5
988,0.0110000000,3
1081,0.0039200000,2
1108,0.0146000000,3
1186,0.0039200000,7
1192,0.1746927521,8
1298,0.0252000000,6
1541,0.0122000000,2
1737,0.0314000000,5
1952,0.0632000000,6
2084,0.0039200000,4
2353,0.0068200000,3
2554,0.0039200000,2
2606,0.0051200000,2
2691,0.0757889627,8
2874,0.0039200000,2
3231,0.0039200000,3
3300,0.0347000000,4
3615,0.0409000000,6
3713,0.0090600000,3
3839,0.2990291182,8
3840,0.0824341583,6
3936,0.0390000000,6
3968,0.2934439808,6
3987,0.0214000000,5
4152,0.0217000000,5
4358,0.0084000000,3
4444,0.0053700000,2
4602,0.0537000000,5
4629,0.0339000000,9
5001,0.0039200000,2
5212,0.0241000000,6
5430,0.0105000000,5
5593,0.0039200000,2
5628,0.0247000000,3
5765,0.1226045206,5
5791,0.0039200000,2
5827,0.0342000000,5
6417,0.0043900000,4
6463,0.0173000000,2
6478,0.0086400000,4
7074,0.0251000000,3
7085,0.0830655935,7
7089,0.0095000000,3
7219,0.0124000000,4
8291,0.0039200000,3
8412,0.0039200000,5
8610,0.0737202053,6
8708,0.0090600000,2
8709,0.0262000000,6
8882,0.0373000000,5
8906,0.0099200000,3
8997,0.0129000000,3
9000,0.0300000000,9
9080,0.0039200000,2
9613,0.0234000000,2
9952,0.0039200000,2
10142,0.0265000000,4
10178,0.1619824436,8
10202,0.5940855465,9
10208,0.0373000000,9
10221,0.0731592089,9
10223,0.0216000000,7
10228,0.0039200000,6
10229,0.0066800000,2
10230,0.0195000000,2
10237,0.0877689848,9
10241,0.0772464165,9
10265,0.0153000000,5
10274,0.0088100000,2
10297,0.0726212968,8
10305,0.0039200000,4
10312,0.0390000000,6
10317,0.0739164068,9
10318,0.0070200000,5
10336,0.0095800000,6
10346,0.0092300000,3
10350,0.2501415595,8
10355,0.0300000000,6
10364,0.0347000000,7
10419,0.1238425000,9
10450,0.0810732635,9
10565,0.0574000000,6
10609,0.0233000000,5
10677,0.0039200000,2
10698,0.0261000000,5
10706,0.0641000000,5
10781,0.0617000000,6
10792,0.0143000000,4
10860,0.0139000000,2
10862,0.0121000000,2
10877,0.0587000000,4
10923,0.0261000000,4
11011,0.0486000000,5
11014,0.0844336200,9
11041,0.0776778158,7
11214,0.0298000000,3
11333,0.0325000000,9
11385,0.0108000000,5
11414,0.1325904483,6
11489,0.0528000000,7
11525,0.1023163083,5
11600,0.0136000000,6
11628,0.0165000000,5
11677,0.0138000000,4
11753,0.0039200000,3
11764,0.0410000000,5
11848,0.0203000000,4
12026,0.0153000000,4
12041,0.0211000000,2
12098,0.0039200000,2
12111,0.0136000000,2
12158,0.0342000000,5
12161,0.0254000000,4
12249,0.0095400000,4
12371,0.0114000000,2
12426,0.0292000000,5
12496,0.0463000000,4
12522,0.2285074535,9
12528,0.0273000000,4
12601,0.0103000000,5
12615,0.0170000000,3
12643,0.0064200000,2
12644,0.0167000000,2
12661,0.0196000000,4
12695,0.0249000000,9
12708,0.0039200000,3
12716,0.0070600000,5
12741,0.0808267828,5
12801,0.0455000000,5
12802,0.0735300683,6
12815,0.0281000000,5
12853,0.1097820687,6
12861,0.0596000000,6
12864,0.0445000000,6
12865,0.0088700000,4
12877,0.0050300000,3
12891,0.0039200000,3
12913,0.0282000000,5
12947,0.0199000000,4
12951,0.0158000000,4
13040,0.0681503632,9
13098,0.1319291036,6
13167,0.0540000000,6
13170,0.0517000000,3
13171,0.0039200000,3
13185,0.0318000000,4
13203,0.0039200000,6
13228,0.0039200000,5
13322,0.0135000000,3
13327,0.0039200000,2
13348,"1,0000000000",9
13352,0.0632000000,9
13373,0.0073800000,3
13390,0.0082800000,2
13403,0.0039200000,3
13405,0.1274317042,6
13407,0.0039200000,2
13412,0.0255000000,4
13413,0.0193000000,8
13431,0.0061400000,3
13470,0.0334000000,6
13485,0.0621000000,6
13503,0.0101000000,3
13504,0.0179000000,3
13527,0.0039200000,4
13545,0.0613000000,5
13559,0.0039200000,3
13565,0.0273000000,3
13569,0.0406000000,5
13581,0.0228000000,7
13607,0.0171000000,3
13653,0.0039200000,3
13696,0.0039200000,4
13729,0.0292000000,3
13740,0.0376000000,3
13893,0.0202000000,3
14263,0.0758244284,5
14893,0.0338000000,5
15023,0.0537000000,5
15033,0.0039200000,5
15403,0.0065800000,5
15483,0.0265000000,4
15633,0.0141000000,3
16133,0.1227635973,6
16263,0.0608000000,5
16383,0.0267000000,3
16813,0.0434000000,5
16853,0.0153000000,3
16943,0.0194000000,5
17313,0.0039200000,2
17353,0.0133000000,5
17593,0.0098100000,2
17673,0.0336000000,3
18473,0.0217000000,3
18713,0.1155818308,5
19223,0.0105000000,2
19813,0.0175000000,4
20053,0.0039200000,2
21203,0.0084500000,4
21573,0.0039200000,4
21843,0.0039200000,6
22083,0.0752079097,6
22253,0.0699263454,5
22263,0.0493000000,6
22823,0.0303000000,3
22873,0.0144000000,6
23823,0.0039200000,2
24053,0.0272000000,3
24263,0.0256000000,6
24303,0.0354000000,6
24393,0.0204000000,5
24883,0.0695798381,5
24923,0.0082900000,3
25243,0.0039200000,2
25583,0.0631000000,5
25663,0.1411181181,9
25793,0.0420000000,4
25923,0.0208000000,3
26163,0.0164000000,4
26253,0.0425000000,6
26743,0.1445647091,9
27953,0.0155000000,5
29283,0.0211000000,5
30733,0.0176000000,2
30953,0.0375000000,3
31673,0.0417000000,6
32893,0.0849522758,7
33423,0.1740096815,6
33493,0.0082900000,3
34153,0.0176000000,3
34883,0.0429000000,4
35013,0.0214000000,6
35373,0.0039200000,2
35383,0.0039200000,4
35603,0.0128000000,3
36183,0.1069729796,6
36823,0.0820832095,6
36863,0.0784794035,5
37133,0.0039200000,5
38003,0.0590000000,5
38033,0.0097100000,3
38133,0.0039200000,2
38883,0.0039200000,4
39303,0.0326000000,6
39393,0.0748838268,6
39483,0.0190000000,4
39523,0.0143000000,4
39553,0.0039200000,2
39653,0.0072200000,4
40153,0.0039200000,4
40403,0.0161000000,4
40563,0.0182000000,5
41573,0.0208000000,2
41693,0.1720779039,6
42683,0.0735106882,6
42693,0.0179000000,4
43243,0.0065600000,3
43833,0.0039200000,4
44453,0.0329000000,4
45013,0.0387000000,6
45443,0.0163000000,3
45523,0.0402000000,4
46463,0.0126000000,5
47023,0.0355000000,3
47083,0.0543000000,6
47293,0.0039200000,4
47333,0.0789047357,6
47973,0.1007087615,8
48193,0.0039200000,2
48443,0.1519976146,8
48903,0.0961715955,5
49333,0.0188000000,3
50043,0.1109217514,6
50933,0.0639000000,6
51013,0.0096700000,4
53103,0.0233000000,5
53213,0.0995288024,7
53453,0.0039200000,2
53953,0.1074886856,6
54553,0.0565000000,6
54733,0.0475000000,5
54793,0.0165000000,3
55273,0.0039200000,6
55523,0.0225000000,3
55573,0.0294000000,5
55733,0.0162000000,6
55753,0.0106000000,4
55823,0.0174000000,3
56653,0.2447612500,9
56733,0.0130000000,5
56833,0.1326983116,7
56903,0.0605000000,5
57323,0.0316000000,4
57353,0.0160000000,2
57383,0.0039200000,2
57443,0.0134000000,3
57773,0.0142000000,6
57863,0.0064000000,2
58863,0.0039200000,2
59033,0.0075300000,3
59313,0.0345000000,3
59643,0.0552000000,5
60063,0.0095100000,4
60313,0.0403000000,4
60463,0.0115000000,3
61233,0.0910399012,6
61633,0.0178000000,6
62763,0.1006670678,7
62983,0.0780535253,5
64543,0.0351000000,3
65073,0.0114000000,2
65473,0.0039200000,2
65573,0.0330000000,4
66133,0.0039200000,2
66583,0.0400000000,7
66653,0.0820784121,5
67753,0.0039200000,3
67923,0.0393000000,6
68453,0.0377000000,6
68783,0.0133000000,2
69743,0.0434000000,7
70373,0.0261000000,5
70723,0.0153000000,2
71353,0.0337000000,9
72373,0.1100924222,7
72883,0.0697512848,6
73703,0.0205000000,5
73823,0.0076400000,2
73843,0.1554653449,6
74673,0.0039200000,4
74683,0.0156000000,5
75093,0.0039200000,2
75533,0.0270000000,5
76043,0.0736233406,6
76123,0.0289000000,5
76643,0.0463000000,3
77063,0.0327000000,4
78163,0.0039200000,2
78393,0.0039200000,2
78733,0.0188000000,2
78743,0.0156000000,3
79903,0.0321000000,2
80313,0.0133000000,4
81193,0.0180000000,5
81213,0.0246000000,4
81513,0.0184000000,2
82433,0.0559000000,5
86843,0.0099600000,3
89903,0.0069600000,2
104203,0.0323000000,4
109293,0.0115000000,4
111483,0.0435000000,5
118013,0.0236000000,4
120253,0.0203000000,7
125033,0.0441000000,4
125503,0.0081100000,2
139113,0.0039200000,6
160763,0.0557000000,8
161043,0.0079400000,3
165293,0.0039200000,5
182563,0.0333000000,4
186193,0.0071900000,2
194323,0.0189000000,5
211523,0.0039200000,3
249153,0.0089500000,2
277813,0.0151000000,3
279603,0.0039200000,5
284933,0.0164000000,4
302823,0.0550000000,5
307503,0.0098500000,4
330093,0.0722535850,7
332083,0.0066800000,4
332163,0.0328000000,4
334503,0.0139000000,3
336113,0.0530000000,6
336343,0.0219000000,4
348003,0.0131000000,3
350373,0.0039200000,3
368623,0.0066700000,5
369893,0.0796007231,6
379983,0.0259000000,4
383323,0.0210000000,5
385463,0.0307000000,4
393543,0.0103000000,3
394313,0.0996724796,6
404133,0.1537609954,9
406073,0.0084400000,3
408813,0.0210000000,4
421523,0.0157000000,3
435423,0.0261000000,6
447813,0.0150000000,2
469153,0.0232000000,5
471323,0.0079900000,2
471963,0.0468000000,8
495393,0.0039200000,4
496723,0.0185000000,8
511533,0.0064200000,3
517143,0.0372000000,6
545463,0.0174000000,4
546313,0.0134000000,3
557503,0.0099500000,2
560293,0.0297000000,5
586803,0.0164000000,3
591873,0.0299000000,3
592313,0.0039200000,2
593023,0.0071400000,3
595433,0.0039200000,2
598953,0.0322000000,6
603883,0.0211000000,4
607063,0.0151000000,4
607643,0.0081900000,2
607843,0.0704118633,5
608473,0.1172954609,9
608803,0.0258000000,2
610273,0.0066400000,3
610533,0.0605000000,5
610793,0.0335000000,7
611243,0.0039200000,2
611283,0.0261000000,4
611613,0.0039200000,2
611953,0.0684637640,9
614103,0.0266000000,3
614623,0.0151000000,2
614683,0.0167000000,4
614853,0.0367000000,4
615343,0.0141000000,3
615403,0.0952870228,5
615413,0.0375000000,5
616723,0.0039200000,4
617053,0.0381000000,5
618763,0.0379000000,3
619433,0.0091200000,2
620553,0.0378000000,4
620763,0.0043300000,4
620813,0.0142000000,3
620863,0.0351000000,8
621003,0.0173000000,2
621393,0.0209000000,3
621713,0.0372000000,5
622053,0.0172000000,3
623133,0.0340000000,8
623483,0.0151000000,3
623623,0.1124105630,6
623973,0.0039200000,2
624023,0.0086000000,2
624683,0.0536000000,5
625093,0.0067300000,6
625513,0.0039200000,2
625833,0.0039200000,2
626183,0.0599000000,5
626593,0.0151000000,3
627213,0.0187000000,4
627303,0.0217000000,3
627813,0.0149000000,4
629843,0.0213000000,5
630113,0.0276000000,5
630793,0.0039200000,5
631823,0.0141000000,2
632053,0.0140000000,2
632173,0.0189000000,5
632433,0.1699096822,7
632443,0.0850335305,7
633293,0.0064900000,5
634433,0.0039200000,3
635633,0.0651418837,6
636593,0.0039200000,2
636843,0.0465000000,7
637533,0.0386000000,3
637773,0.0117000000,2
