nodo,k-shell
57,2
246,4
613,3
760,3
761,3
765,5
855,3
885,6
985,5
988,3
1081,2
1108,3
1186,7
1192,8
1298,6
1418,9
1541,2
1737,5
1952,6
2084,4
2353,3
2554,2
2606,2
2691,8
2874,2
3231,3
3300,4
3615,6
3713,3
3750,3
3839,8
3840,6
3936,6
3968,6
3987,5
4152,5
4358,3
4444,2
4602,5
4629,9
5001,2
5212,6
5430,5
5593,2
5628,3
5765,5
5791,2
5827,5
6417,4
6463,2
6478,4
7074,3
7085,7
7089,3
7219,4
8291,3
8412,5
8610,6
8708,2
8709,6
8882,5
8906,3
8997,3
9000,9
9080,2
9613,2
9952,2
10142,4
10178,8
10202,9
10208,9
10213,9
10220,4
10221,9
10223,7
10226,9
10228,6
10229,2
10230,2
10237,9
10241,9
10265,5
10274,2
10297,8
10305,4
10312,6
10317,9
10318,5
10336,6
10346,3
10350,8
10355,6
10364,7
10396,9
10419,9
10450,9
10565,6
10609,5
10677,2
10698,5
10706,5
10781,6
10792,4
10860,2
10862,2
10877,4
10923,4
10997,9
11011,5
11014,9
11041,7
11140,6
11214,3
11333,9
11385,5
11414,6
11489,7
11525,5
11600,6
11628,5
11677,4
11753,3
11764,5
11848,4
12026,4
12041,2
12098,2
12111,2
12158,5
12161,4
12249,4
12371,2
12426,5
12496,4
12504,5
12522,9
12528,4
12587,5
12601,5
12615,3
12643,2
12644,2
12661,4
12695,9
12708,3
12716,5
12741,5
12757,3
12801,5
12802,6
12815,5
12853,6
12861,6
12864,6
12865,4
12877,3
12891,3
12913,5
12947,4
12951,4
13040,9
13098,6
13167,6
13170,3
13171,3
13185,4
13203,6
13228,5
13322,3
13327,2
13348,9
13352,9
13373,3
13390,2
13391,4
13403,3
13405,6
13407,2
13412,4
13413,8
13431,3
13470,6
13485,6
13503,3
13504,3
13527,4
13545,5
13559,3
13565,3
13569,5
13581,7
13607,3
13653,3
13696,4
13729,3
13740,3
13893,3
14263,5
14893,5
15023,5
15033,5
15403,5
15483,4
15633,3
16133,6
16263,5
16383,3
16813,5
16853,3
16943,5
17313,2
17353,5
17593,2
17673,3
18473,3
18713,5
19223,2
19813,4
19903,2
20053,2
21203,4
21573,4
21843,6
22083,6
22253,5
22263,6
22623,5
22823,3
22873,6
23823,2
24053,3
24263,6
24303,6
24393,5
24593,5
24883,5
24923,3
25243,2
25583,5
25663,9
25793,4
25923,3
26163,4
26253,6
26743,9
27953,5
29283,5
30733,2
30953,3
31673,6
32893,7
33423,6
33493,3
34153,3
34883,4
34953,2
35013,6
35373,2
35383,4
35603,3
36183,6
36823,6
36863,5
37133,5
38003,5
38033,3
38133,2
38883,4
39303,6
39393,6
39483,4
39523,4
39553,2
39653,4
40153,4
40403,4
40563,5
41023,4
41453,2
41573,2
41693,6
42683,6
42693,4
43243,3
43833,4
44453,4
45013,6
45443,3
45523,4
45773,5
46463,5
47023,3
47083,6
47293,4
47333,6
47973,8
48023,2
48193,2
48443,8
48903,5
48933,5
49333,3
50043,6
50153,2
50933,6
51013,4
53103,5
53213,7
53453,2
53953,6
53983,2
54553,6
54733,5
54793,3
55273,6
55523,3
55573,5
55733,6
55753,4
55823,3
56653,9
56733,5
56833,7
56903,5
57203,8
57323,4
57353,2
57383,2
57443,3
57773,6
57863,2
58863,2
59033,3
59313,3
59643,5
60063,4
60313,4
60463,3
61233,6
61633,6
62633,2
62763,7
62983,5
64543,3
64623,6
65073,2
65473,2
65573,4
66123,2
66133,2
66523,2
66573,5
66583,7
66653,5
67753,3
67923,6
68453,6
68783,2
69743,7
70373,5
70723,2
71003,2
71353,9
72373,7
72883,6
73703,5
73823,2
73843,6
74673,4
74683,5
75093,2
75493,6
75533,5
76043,6
76123,5
76643,3
77063,4
78163,2
78393,2
78733,2
78743,3
79543,7
79903,2
80313,4
81193,5
81213,4
81513,2
82433,5
86843,3
89903,2
104203,4
109293,4
111483,5
118013,4
120253,7
125033,4
125503,2
139113,6
143883,4
160763,8
161043,3
165293,5
182563,4
186193,2
186423,3
193753,4
194323,5
211523,3
235793,3
249153,2
277813,3
279603,5
284633,4
284933,4
302823,5
305853,7
307503,4
327063,4
330093,7
332083,4
332163,4
334503,3
336113,6
336343,4
348003,3
350373,3
368623,5
369893,6
379983,4
383323,5
385463,4
393543,3
394313,6
404133,9
406073,3
408813,4
421523,3
435423,6
447073,2
447813,2
455483,6
462113,2
469153,5
471323,2
471963,8
481453,5
495393,4
496723,8
506313,6
511533,3
517143,6
524463,9
545463,4
546313,3
557503,2
560293,5
586803,3
591873,3
592313,2
593023,3
595433,2
598953,6
603883,4
607063,4
607643,2
607843,5
608473,9
608803,2
609623,5
610273,3
610533,5
610793,7
610993,3
611243,2
611283,4
611613,2
611953,9
614103,3
614623,2
614683,4
614853,4
615343,3
615403,5
615413,5
615813,5
616723,4
617053,5
618763,3
619433,2
620553,4
620763,4
620813,3
620863,8
621003,2
621393,3
621713,5
622053,3
622313,2
623133,8
623483,3
623623,6
623973,2
624023,2
624683,5
625093,6
625513,2
625833,2
626183,5
626593,3
627213,4
627303,3
627813,4
629843,5
630113,5
630163,3
630793,5
631823,2
632053,2
632173,5
632433,7
632443,7
633293,5
634433,3
635633,6
635773,4
636593,2
636843,7
637533,3
637773,2
638323,4
638403,3
638773,3
639203,2
639433,2
639973,2
640983,5
641483,6
641953,4
643323,3
644603,4
646663,3
649283,3
649713,6
651953,2
652193,4
652293,6
652313,6
653433,2
655313,2
656423,3
656433,4
656543,2
656713,2
657083,3
657293,4
657693,2
658033,4
658293,2
659393,3
659803,2
660823,5
661573,2
662763,7
663463,6
665023,2
666043,6
666523,5
666773,3
667003,4
667873,3
668243,4
668423,2
669303,4
671083,2
671483,4
671503,3
671763,5
672473,2
672493,3
673203,2
673743,7
674383,6
674433,2
674593,6
675563,6
676493,3
676923,3
677523,2
678233,2
678323,7
678893,3
679173,2
679303,7
680653,5
680953,2
681333,5
681473,5
682023,4
682823,3
682993,2
684323,2
685063,4
685183,3
685593,2
686483,4
686623,6
686993,6
688553,2
688933,5
688983,3
690253,2
690503,2
691093,5
691353,5
693883,5
694283,9
695013,5
695603,5
695753,5
697293,2
697513,9
697613,4
698813,4
701603,2
701923,4
702333,2
704563,5
704863,5
705953,4
706273,4
708653,5
709853,2
710133,4
710563,4
710613,5
710683,2
710913,9
711303,9
711653,3
711803,6
711963,3
712173,4
713223,5
713263,3
713333,6
714033,4
714563,3
714913,2
715113,5
715133,3
716893,9
717003,8
717043,2
717893,5
719613,3
720323,2
720503,4
721613,5
722133,3
722553,2
722673,2
722933,4
722973,2
724273,3
724643,6
724783,5
725093,9
725353,3
725473,2
725553,4
726983,4
727513,5
727943,6
730423,3
730543,7
731163,2
731253,5
731513,2
731923,7
732723,2
732763,2
732943,4
733383,2
733803,6
733893,6
734153,4
734203,5
735123,4
735513,2
736483,4
739223,2
739853,2
740203,4
740983,6
741553,6
742343,2
742713,2
742883,4
744903,3
745553,2
745903,3
746323,9
746843,5
747493,3
748933,2
749333,8
749453,8
749483,2
749493,2
749863,6
750823,3
751633,4
752603,4
752703,5
752743,9
753743,3
754003,7
754053,5
754497,3
754556,9
754571,2
754581,2
754656,2
754682,5
754685,2
754727,2
754741,3
754807,7
754820,2
754823,3
754839,3
754870,6
754873,3
754969,4
754973,2
754994,2
755001,3
755083,3
755086,6
755172,5
755241,5
755258,2
755311,3
755340,5
755370,2
755389,7
755574,4
755587,2
755751,9
755756,6
755768,5
755991,3
756047,3
756077,2
756139,2
756236,3
756242,2
756357,2
756391,3
756400,3
756431,6
756532,6
756742,8
756745,8
756872,6
756927,3
756975,4
756985,2
757149,5
757725,2
757838,4
757903,3
758051,2
758061,5
758073,3
758114,5
758144,6
758185,3
758799,5
758970,6
759036,6
759137,5
759147,4
759186,8
759720,4
759791,5
759926,3
760106,2
760579,3
760635,2
760684,4
760983,3
761058,5
761153,3
761362,3
761428,9
761483,4
761492,2
761627,2
761906,6
761969,7
762041,2
762115,5
763060,3
763170,5
763237,2
763403,5
763489,3
763564,2
763803,6
764017,6
764035,4
764775,3
764853,4
764980,6
765080,3
765307,6
765456,3
765609,3
765686,3
765942,2
766006,6
766009,6
766081,3
766291,2
766328,6
766347,5
766929,6
767022,2
767610,2
767749,3
768288,5
768383,4
768551,4
768579,9
768617,5
768761,2
768783,9
768828,3
768841,5
768856,4
768874,2
769000,3
769123,7
769147,4
769167,3
769696,3
769746,4
769920,2
769937,5
770312,2
770441,5
770606,2
771278,8
771335,4
771677,2
772049,2
772054,4
772471,8
772516,9
772523,4
772626,4
772669,5
772742,2
772787,5
772928,9
773003,9
773150,4
773287,2
773310,2
773545,4
773796,3
773841,9
774037,4
774058,2
774169,2
774269,4
774280,4
774292,3
774311,4
774330,3
774374,5
774502,6
774675,9
774858,2
774941,3
774980,9
775187,4
776013,5
776031,7
776038,4
776052,7
776250,3
776260,5
776440,5
776449,3
776747,9
776984,3
777121,5
777466,4
777560,5
777626,3
777669,2
777859,5
778057,8
778162,5
778332,2
778376,3
778446,9
778604,6
778769,2
778787,3
778928,2
778974,9
779135,2
779150,4
779154,8
779283,3
779451,5
779476,3
779578,9
779583,9
779715,6
779900,5
780006,6
780026,2
780050,5
780198,2
780240,3
780290,5
780308,5
780419,8
780613,3
780641,5
781168,7
781280,7
781310,7
781314,5
781441,2
781530,4
781575,5
781613,5
781730,3
782053,5
782263,5
782310,6
782329,2
782352,3
782482,7
782721,3
783328,2
783393,4
783573,2
783652,2
783705,9
783771,2
783775,2
783870,7
783930,7
783937,4
784132,7
784165,4
784351,4
784457,2
784907,3
784912,3
784952,4
784981,4
784998,5
785016,3
785164,3
785216,3
785230,9
785264,9
785270,7
785477,2
785485,3
785510,5
785637,6
785675,7
785721,7
785730,2
785997,7
786040,3
786152,5
786193,6
786342,5
786382,2
786491,6
786750,5
786795,2
786836,4
786916,3
786937,7
787166,6
787404,2
787438,2
787596,3
787910,9
788034,2
788247,4
788299,6
788350,2
788570,3
788642,4
788670,2
788721,7
788863,6
789068,2
789072,6
789109,5
789158,6
789286,2
789580,9
789993,2
790000,5
790079,9
790249,4
790800,9
791003,3
791045,6
791125,6
791250,6
791288,4
791300,3
791838,8
791951,2
792121,5
792177,2
792230,2
792333,8
792443,2
