nodo,pagerank
57,"0.0211000000"
246,"0.0212000000"
613,"0.0144000000"
760,"0.0210000000"
761,"0.0217000000"
765,"0.0316000000"
855,"0.0305000000"
985,"0.0234000000"
988,"0.0110000000"
1081,"0.0039200000"
1108,"0.0146000000"
1186,"0.0039200000"
1192,"0.1746927521"
1298,"0.0252000000"
1541,"0.0122000000"
1737,"0.0314000000"
1952,"0.0632000000"
2084,"0.0039200000"
2353,"0.0068200000"
2554,"0.0039200000"
2606,"0.0051200000"
2691,"0.0757889627"
2874,"0.0039200000"
3231,"0.0039200000"
3300,"0.0347000000"
3615,"0.0409000000"
3713,"0.0090600000"
3839,"0.2990291182"
3840,"0.0824341583"
3936,"0.0390000000"
3968,"0.2934439808"
3987,"0.0214000000"
4152,"0.0217000000"
4358,"0.0084000000"
4444,"0.0053700000"
4602,"0.0537000000"
4629,"0.0339000000"
5001,"0.0039200000"
5212,"0.0241000000"
5430,"0.0105000000"
5593,"0.0039200000"
5628,"0.0247000000"
5765,"0.1226045206"
5791,"0.0039200000"
5827,"0.0342000000"
6417,"0.0043900000"
6463,"0.0173000000"
6478,"0.0086400000"
7074,"0.0251000000"
7085,"0.0830655935"
7089,"0.0095000000"
7219,"0.0124000000"
8291,"0.0039200000"
8412,"0.0039200000"
8610,"0.0737202053"
8708,"0.0090600000"
8709,"0.0262000000"
8882,"0.0373000000"
8906,"0.0099200000"
8997,"0.0129000000"
9000,"0.0300000000"
9080,"0.0039200000"
9613,"0.0234000000"
9952,"0.0039200000"
10142,"0.0265000000"
10178,"0.1619824436"
10202,"0.5940855465"
10208,"0.0373000000"
10221,"0.0731592089"
10223,"0.0216000000"
10228,"0.0039200000"
10229,"0.0066800000"
10230,"0.0195000000"
10237,"0.0877689848"
10241,"0.0772464165"
10265,"0.0153000000"
10274,"0.0088100000"
10297,"0.0726212968"
10305,"0.0039200000"
10312,"0.0390000000"
10317,"0.0739164068"
10318,"0.0070200000"
10336,"0.0095800000"
10346,"0.0092300000"
10350,"0.2501415595"
10355,"0.0300000000"
10364,"0.0347000000"
10419,"0.1238425000"
10450,"0.0810732635"
10565,"0.0574000000"
10609,"0.0233000000"
10677,"0.0039200000"
10698,"0.0261000000"
10706,"0.0641000000"
10781,"0.0617000000"
10792,"0.0143000000"
10860,"0.0139000000"
